,Name,Distance,Mass,Radius,Star_name
74,HD 140283,0190,?,1.4,2MASS 0939−2448
75,II Pegasi,0130,0.8,3.4,2MASS J09490860-1545485 [de]
76,VY Canis Majoris,"03,900",17,"1,420",2MASS J10073369-4555147
77,Pistol Star,"025,000",100,320,2MASSI J1010148-040649 [de]
78,S Doradus,"0169,000",24,380,2MASS J10224821+5825453 [de]
79,UY Scuti,"05,100",7–10,755,2MASSW J1036530-344138 [de]
80,Barnard's Star,05.98,0.14,0.20,2MASS J1047538+212423 [de]
81,Luhman 16,06.52,0.04,?,DEN 1048-3956
82,Proxima Centauri,04.25,0.12,0.15,Luhman 16B
83,KIC 8462852,"01,470",1.43,1.58,Luhman 16A
84,R136a1,"0163,000",290,32,DENIS-P J1058.7−1548
85,Melnick 42,"0163,000",189,21.1,TWA 28
86,WR 102,"018,134",19,0.39,Cha 110913-773444
87,VFTS 352,"0164,000",57.48,14.47,SDSS J111010.01+011613.1
88,YBP 1194,"02,772",1.01,0.99,2MASS J11145133−2618235
89,Gliese 1214,047.5,0.16,0.21,TWA 26
90,NML Cygni,"05,251",50,"1,640 - 2,770",2MASS J11544223-3400390 [de]
91,VB 10,018.72,0.075,0.10,2MASSW J1155395-372735 [de]
92,WOH G64,"0163,000",<20,"1,540 - 1,730",2MASS J12074836-3900043
93,TRAPPIST-1,039.6,0.089,0.12,2MASSI J1217110-031113 [de]
94,2MASS J0523-1403,040.3,0.07,0.086,2M 1237+6526
95,WISE 0855−0714,07.27,0.003,?,TWA 29
96,Icarus,"014,400,000,000",33,?,SDSSp J125453.90-012247.4 [de]
